12th	19525800.txt:1 
1727	19525800.txt:1 
aaron	19525800.txt:1 
aberration	19525800.txt:1 
abject	19525800.txt:1 
able	19525800.txt:29 
ablution	19525800.txt:1 
aboard	19525800.txt:5 
about	19525800.txt:166 
aboutwhats	19525800.txt:1 
abroad	19525800.txt:8 
absence	19525800.txt:14 
absent	19525800.txt:1 
absolutely	19525800.txt:11 
abstained	19525800.txt:1 
abstract	19525800.txt:1 
acadamie	19525800.txt:1 
accent	19525800.txt:3 
accepted	19525800.txt:9 
accepting	19525800.txt:5 
accompany	19525800.txt:4 
accomplishments	19525800.txt:4 
accordingly	19525800.txt:1 
accounted	19525800.txt:1 
accusing	19525800.txt:1 
acknowledgment	19525800.txt:2 
acquire	19525800.txt:2 
acquit	19525800.txt:1 
actors	19525800.txt:1 
adjournment	19525800.txt:1 
administer	19525800.txt:2 
admired	19525800.txt:4 
admirers	19525800.txt:1 
admits	19525800.txt:1 
adorer	19525800.txt:1 
adventures	19525800.txt:4 
advised	19525800.txt:2 
affair	19525800.txt:6 
affectations	19525800.txt:1 
affected	19525800.txt:2 
affliction	19525800.txt:1 
affluence	19525800.txt:1 
affords	19525800.txt:1 
afire	19525800.txt:2 
againclose	19525800.txt:1 
aggravated	19525800.txt:1 
ajar	19525800.txt:1 
akin	19525800.txt:1 
alarmed	19525800.txt:7 
alexander	19525800.txt:1 
aliment	19525800.txt:1 
alive	19525800.txt:1 
allurements	19525800.txt:1 
aloft	19525800.txt:2 
along	19525800.txt:13 
alongside	19525800.txt:2 
aloof	19525800.txt:2 
always	19525800.txt:68 
american	19525800.txt:1 
amongst	19525800.txt:1 
amuse	19525800.txt:1 
amusement	19525800.txt:3 
amyas	19525800.txt:147 
amyasarcherchairs	19525800.txt:1 
amyasthey	19525800.txt:1 
andwith	19525800.txt:1 
angel	19525800.txt:3 
angered	19525800.txt:3 
angle	19525800.txt:2 
anguish	19525800.txt:2 
angular	19525800.txt:2 
annihilationunable	19525800.txt:1 
announced	19525800.txt:6 
annuity	19525800.txt:1 
answered	19525800.txt:20 
answers	19525800.txt:2 
anticipation	19525800.txt:1 
apologies	19525800.txt:3 
apologise	19525800.txt:1 
apologising	19525800.txt:1 
appalled	19525800.txt:1 
appeal	19525800.txt:2 
appeased	19525800.txt:2 
appetite	19525800.txt:2 
appointment	19525800.txt:6 
approved	19525800.txt:1 
apron	19525800.txt:5 
aquila	19525800.txt:1 
arch	19525800.txt:3 
archives	19525800.txt:1 
archway	19525800.txt:2 
ardens	19525800.txt:6 
area	19525800.txt:1 
aresfields	19525800.txt:7 
armour	19525800.txt:1 
arrange	19525800.txt:4 
arrangement	19525800.txt:4 
arrested	19525800.txt:1 
artless	19525800.txt:2 
ask	19525800.txt:36 
asking	19525800.txt:13 
asks	19525800.txt:3 
asseverating	19525800.txt:2 
assuredly	19525800.txt:2 
astute	19525800.txt:1 
asylum	19525800.txt:1 
ate	19525800.txt:5 
attack	19525800.txt:1 
attended	19525800.txt:9 
attention	19525800.txt:10 
attiring	19525800.txt:1 
attraction	19525800.txt:1 
au	19525800.txt:1 
audible	19525800.txt:4 
auser	19525800.txt:1 
austria	19525800.txt:4 
austrian	19525800.txt:4 
authority	19525800.txt:4 
autumnal	19525800.txt:1 
availed	19525800.txt:2 
averting	19525800.txt:1 
avoiding	19525800.txt:1 
away	19525800.txt:77 
awestricken	19525800.txt:1 
awkwardly	19525800.txt:1 
aye	19525800.txt:11 
aylward	19525800.txt:56 
babe	19525800.txt:4 
babes	19525800.txt:1 
baby	19525800.txt:3 
backed	19525800.txt:2 
badge	19525800.txt:1 
badly	19525800.txt:2 
bah	19525800.txt:2 
balustrades	19525800.txt:1 
bar	19525800.txt:7 
barbarians	19525800.txt:1 
barbarous	19525800.txt:4 
barber	19525800.txt:1 
barefooted	19525800.txt:1 
barked	19525800.txt:1 
barn	19525800.txt:5 
baroness	19525800.txt:1 
barracks	19525800.txt:2 
barrowknight	19525800.txt:1 
bashful	19525800.txt:7 
basilike	19525800.txt:1 
baulks	19525800.txt:1 
baxters	19525800.txt:1 
be	19525800.txt:701 
beasts	19525800.txt:1 
beautified	19525800.txt:1 
beautiful	19525800.txt:31 
bed	19525800.txt:41 
bedridden	19525800.txt:1 
bedrooms	19525800.txt:1 
beds	19525800.txt:3 
beer	19525800.txt:2 
before	19525800.txt:137 
beforehand	19525800.txt:1 
began	19525800.txt:51 
begun	19525800.txt:11 
beheld	19525800.txt:4 
behold	19525800.txt:3 
beings	19525800.txt:2 
belongs	19525800.txt:1 
bend	19525800.txt:1 
bends	19525800.txt:1 
bespattered	19525800.txt:1 
betises	19525800.txt:1 
betray	19525800.txt:4 
betrayal	19525800.txt:1 
betrayer	19525800.txt:1 
betters	19525800.txt:1 
bettys	19525800.txt:28 
between	19525800.txt:45 
bewitched	19525800.txt:1 
bickering	19525800.txt:1 
bickerings	19525800.txt:1 
bidding	19525800.txt:3 
bills	19525800.txt:1 
binding	19525800.txt:1 
biscuits	19525800.txt:2 
bit	19525800.txt:15 
biting	19525800.txt:1 
black	19525800.txt:36 
blackamoor	19525800.txt:4 
blinde	19525800.txt:1 
blindness	19525800.txt:1 
blondel	19525800.txt:2 
bloodletting	19525800.txt:1 
blue	19525800.txt:34 
boarded	19525800.txt:1 
boltby	19525800.txt:3 
bond	19525800.txt:1 
bordered	19525800.txt:2 
bordering	19525800.txt:1 
bore	19525800.txt:7 
borne	19525800.txt:3 
borrow	19525800.txt:3 
bosom	19525800.txt:1 
boss	19525800.txt:1 
both	19525800.txt:59 
bounced	19525800.txt:1 
bounding	19525800.txt:1 
bowed	19525800.txt:5 
bowles	19525800.txt:5 
bowlesan	19525800.txt:1 
bowlinggreen	19525800.txt:1 
box	19525800.txt:10 
boyhood	19525800.txt:1 
brace	19525800.txt:1 
bracing	19525800.txt:2 
braggart	19525800.txt:1 
brain	19525800.txt:6 
brass	19525800.txt:1 
brazen	19525800.txt:1 
breakfasttable	19525800.txt:2 
breaks	19525800.txt:1 
breastknot	19525800.txt:1 
breathe	19525800.txt:2 
breed	19525800.txt:2 
breeding	19525800.txt:7 
breeze	19525800.txt:3 
breezy	19525800.txt:2 
brian	19525800.txt:1 
bridled	19525800.txt:1 
brightened	19525800.txt:1 
brightening	19525800.txt:1 
brokendown	19525800.txt:1 
brood	19525800.txt:1 
brotherinlaw	19525800.txt:3 
browns	19525800.txt:1 
brownshaded	19525800.txt:1 
buff	19525800.txt:3 
built	19525800.txt:2 
burn	19525800.txt:1 
bush	19525800.txt:3 
butter	19525800.txt:5 
by	19525800.txt:433 
c	19525800.txt:4 
cadences	19525800.txt:1 
cake	19525800.txt:6 
cakes	19525800.txt:4 
calderon	19525800.txt:1 
calmly	19525800.txt:3 
canadian	19525800.txt:1 
cannon	19525800.txt:1 
canons	19525800.txt:3 
cantab	19525800.txt:2 
cape	19525800.txt:1 
capered	19525800.txt:1 
capitaine	19525800.txt:1 
capital	19525800.txt:1 
capricious	19525800.txt:1 
carefully	19525800.txt:14 
carminsteran	19525800.txt:1 
carpeting	19525800.txt:1 
carpets	19525800.txt:2 
carriage	19525800.txt:22 
carrier	19525800.txt:1 
catechism	19525800.txt:7 
cattle	19525800.txt:1 
cause	19525800.txt:10 
cautions	19525800.txt:2 
cavalry	19525800.txt:2 
centring	19525800.txt:1 
chainstich	19525800.txt:1 
chair	19525800.txt:24 
challenge	19525800.txt:3 
changed	19525800.txt:4 
changing	19525800.txt:3 
character	19525800.txt:7 
charlotte	19525800.txt:1 
charmed	19525800.txt:2 
charming	19525800.txt:13 
checkmated	19525800.txt:1 
cheeks	19525800.txt:12 
cheer	19525800.txt:5 
cheerful	19525800.txt:8 
chess	19525800.txt:1 
chide	19525800.txt:1 
children	19525800.txt:77 
chill	19525800.txt:5 
chit	19525800.txt:4 
choked	19525800.txt:6 
church	19525800.txt:38 
churchgoing	19525800.txt:1 
churchyard	19525800.txt:4 
claimed	19525800.txt:3 
clambering	19525800.txt:1 
clapped	19525800.txt:1 
clear	19525800.txt:11 
clearheaded	19525800.txt:1 
clearing	19525800.txt:2 
clement	19525800.txt:2 
clenched	19525800.txt:2 
clerk	19525800.txt:3 
clients	19525800.txt:1 
climbing	19525800.txt:1 
clock	19525800.txt:3 
clocking	19525800.txt:1 
close	19525800.txt:19 
clothed	19525800.txt:1 
clothes	19525800.txt:10 
clubroom	19525800.txt:2 
cocked	19525800.txt:5 
coldly	19525800.txt:1 
collar	19525800.txt:4 
colleagues	19525800.txt:2 
collected	19525800.txt:2 
collecting	19525800.txt:1 
colonies	19525800.txt:1 
colouring	19525800.txt:3 
colts	19525800.txt:1 
comforting	19525800.txt:1 
coming	19525800.txt:46 
commanded	19525800.txt:3 
commands	19525800.txt:2 
commend	19525800.txt:1 
commented	19525800.txt:1 
commission	19525800.txt:5 
commissioned	19525800.txt:2 
company	19525800.txt:21 
complacency	19525800.txt:1 
complicate	19525800.txt:1 
complied	19525800.txt:1 
compos	19525800.txt:1 
composedly	19525800.txt:2 
concealed	19525800.txt:2 
concern	19525800.txt:3 
concession	19525800.txt:1 
conchno	19525800.txt:1 
conclude	19525800.txt:1 
condescending	19525800.txt:1 
confer	19525800.txt:5 
confession	19525800.txt:2 
confirmed	19525800.txt:2 
confused	19525800.txt:4 
congratulated	19525800.txt:1 
congratulations	19525800.txt:2 
consider	19525800.txt:3 
considering	19525800.txt:7 
consisting	19525800.txt:1 
consoled	19525800.txt:2 
constitution	19525800.txt:2 
constrained	19525800.txt:2 
constructed	19525800.txt:3 
contemptuous	19525800.txt:1 
contingencies	19525800.txt:1 
continually	19525800.txt:1 
contrition	19525800.txt:1 
convulsively	19525800.txt:1 
cool	19525800.txt:4 
coral	19525800.txt:1 
cordial	19525800.txt:2 
corn	19525800.txt:1 
corners	19525800.txt:5 
correct	19525800.txt:1 
correspondents	19525800.txt:1 
corsairs	19525800.txt:2 
cosmetic	19525800.txt:5 
cottongrass	19525800.txt:1 
